Germany,Israel,South Korea,United Kingdom,United States
8.927999999999999,536.766,5.91,312.14099999999996,338.825
79.586,1017.961,6.553999999999999,274.99,407.776
91.78399999999999,893.301,9.109,249.035,348.345
149.03799999999998,1027.781,8.797,283.048,367.644
155.543,779.154,7.197,305.42400000000004,374.63699999999994
129.321,605.161,7.665,282.88599999999997,406.106
103.027,546.124,7.256,270.498,314.72900000000004
79.61,753.044,5.6370000000000005,234.275,271.134
55.5,511.464,5.89,208.261,273.224
68.366,830.797,8.641,183.263,287.807
110.355,694.3530000000001,9.83,192.632,287.762
118.495,587.254,7.86,199.49599999999998,319.526
109.77,454.50699999999995,7.061,223.875,301.115
77.39,358.152,6.359,196.727,263.499
57.744,292.76,6.71,161.904,196.78099999999998
61.253,683.1460000000001,8.894,144.006,163.984
70.3,494.712,12.113,156.674,188.81400000000002
114.557,468.37,12.113,187.96200000000002,211.899
117.505,381.836,10.942,178.166,211.21
108.016,297.959,8.699,178.225,239.521
85.48200000000001,0.0,8.152999999999999,153.97899999999998,216.33700000000002
72.735,638.8969999999999,6.476,144.875,172.69
59.486000000000004,572.466,6.962999999999999,157.013,169.639
68.796,528.448,8.562999999999999,125.54899999999999,218.361
128.593,483.39,7.724,146.525,225.787
131.672,458.666,7.919,147.6,234.179
112.635,352.838,7.782,126.506,233.63299999999998
91.557,295.187,6.9239999999999995,109.846,195.298
73.021,285.597,6.9239999999999995,89.194,155.343
62.948,479.577,6.651,80.458,175.524
77.485,607.703,8.66,94.43799999999999,172.476
129.524,492.97900000000004,8.27,94.57,203.023
135.981,453.12,7.763,97.87,205.609
114.354,353.3,8.134,88.73700000000001,200.69
98.635,376.86800000000005,8.113999999999999,90.12200000000001,175.97099999999998
77.628,213.505,6.749,77.483,124.09299999999999
61.217,409.102,8.699,71.046,135.70600000000002
81.567,363.467,9.167,86.454,174.18
252.59,373.171,9.07,88.693,174.947
56.63399999999999,318.64,9.517999999999999,100.68299999999999,188.702
152.416,225.058,9.557,98.459,185.832
126.134,184.968,8.953,82.742,160.207
107.15700000000001,136.09799999999998,7.4510000000000005,69.16,115.655
78.094,223.672,7.08,75.568,170.832
211.007,206.804,9.148,79.0,163.12
91.963,170.41099999999997,8.68,85.334,179.08900000000003
340.029,159.898,9.031,93.274,182.39700000000002
184.713,120.963,8.816,71.767,186.301
173.05200000000002,70.59100000000001,8.894,83.066,167.66
9.166,63.773999999999994,7.997000000000001,78.89699999999999,102.235
98.59899999999999,114.609,6.749,79.648,155.385
250.275,106.868,8.29,79.796,162.138
283.551,39.166,8.387,82.874,262.699
258.045,94.39,9.635,92.464,204.074
246.933,62.157,9.85,91.845,233.74400000000003
210.398,0.0,9.401,57.582,189.872
20.613000000000003,62.503,7.49,58.141999999999996,130.57299999999998
122.899,23.221999999999998,8.602,70.456,209.31
282.644,59.38399999999999,9.869,59.968,185.576
298.55400000000003,53.838,10.747,60.61600000000001,201.717
270.684,40.552,10.825,67.245,239.016
191.361,28.999000000000002,10.572000000000001,50.408,211.13400000000001
43.839,41.938,10.591,50.437,191.11
122.935,20.449,9.226,35.427,106.12
71.374,41.13,9.323,41.702,233.832
90.626,36.624,13.029000000000002,35.412,183.352
362.56300000000005,34.198,13.652999999999999,41.201,226.59900000000002
316.409,31.194000000000003,13.088,46.018,241.333
285.675,21.72,13.185,-70.515,249.886
223.52700000000002,16.059,11.975999999999999,39.964,201.497
32.297,13.864,11.449000000000002,25.484,140.5
148.549,25.995,10.572000000000001,54.297,211.76
351.153,20.334,14.258,36.9,235.518
371.39599999999996,29.576,13.614,37.254,227.832
299.699,36.046,13.107000000000001,40.745,224.482
284.732,3.928,12.776,41.349,241.84400000000002
241.06099999999998,-6.122999999999999,13.088,33.483000000000004,158.748
14.525,18.947,10.357000000000001,27.752,127.23200000000001
138.63,19.756,10.708,44.986999999999995,205.808
374.73800000000006,16.059,14.258,37.268,184.11
290.676,15.597000000000001,14.335999999999999,35.707,189.905
378.605,36.393,15.545,40.745,203.22799999999998
265.707,9.82,15.311,40.568000000000005,188.533
172.13299999999998,9.474,12.561,31.258000000000003,161.606
183.794,5.777,9.752,25.528000000000002,97.17399999999999
71.14699999999999,9.589,9.967,31.214000000000002,143.703
309.26,12.709000000000001,15.116,39.728,153.597
337.332,12.245999999999999,13.224,31.391,166.588
288.981,9.705,12.795,36.222,175.99599999999998
170.987,8.549,12.23,35.309,174.983
221.22400000000002,0.0,11.82,28.15,137.108
104.74600000000001,8.434,9.517999999999999,24.659000000000002,88.833
65.764,7.7410000000000005,10.552,24.659000000000002,152.543
287.776,8.781,13.185,29.225,123.008
268.047,8.087,11.196,31.744,135.084
213.84799999999998,7.047999999999999,10.24,38.565,143.66
180.106,3.466,13.673,36.679,145.428
156.653,3.235,11.001,30.285999999999998,101.73899999999999
0.0,0.924,9.031,26.073,64.743
87.38,7.279,9.967,35.029,111.189
235.081,4.968,12.386,36.679,101.64299999999999
78.655,3.466,13.946,33.821,108.274
162.692,3.35,14.57,39.228,115.03200000000001
123.854,2.311,13.283,32.378,127.67
87.964,4.506,11.898,30.345,87.17200000000001
84.348,0.11599999999999999,12.074000000000002,28.371,51.018
64.225,4.621,10.299000000000001,29.358,86.471
90.42299999999999,0.924,12.737,-34.794000000000004,83.95700000000001
141.805,6.239,12.6,31.612,88.49799999999999
128.032,4.852,10.942,39.758,91.262
96.62899999999999,3.1189999999999998,12.99,39.89,84.446
76.61399999999999,2.08,11.41,37.18,59.815
55.416000000000004,1.271,10.494000000000002,30.831,38.87
27.785999999999998,5.546,10.065,34.911,78.002
30.77,2.542,13.634,35.604,68.697
53.387,2.195,12.269,44.059,72.422
82.94,1.386,11.449000000000002,49.848,82.94200000000001
73.63,1.5019999999999998,10.395999999999999,59.364,66.036
53.865,2.311,9.343,47.742,36.25
36.32,0.578,8.387,45.871,20.340999999999998
26.33,1.964,8.953,48.523,17.45
35.650999999999996,4.159,13.205,45.693999999999996,69.314
60.823,0.693,13.283,62.81100000000001,51.096000000000004
44.018,1.733,13.556,76.319,57.625
35.723,0.809,14.512,90.505,50.93600000000001
26.843000000000004,3.1189999999999998,10.845,83.301,42.018
23.441,0.578,9.46,76.967,16.299
17.235,1.617,8.855,82.447,46.815
26.891,0.0,11.722000000000001,87.986,39.308
39.089,0.0,11.917,107.85700000000001,56.332
32.787,5.199,10.845,106.635,43.93600000000001
26.186,2.657,10.981,117.255,74.634
17.712,0.924,8.816,111.245,24.858
11.935,0.578,7.782,108.03399999999999,14.425999999999998
10.42,2.773,7.295,112.262,38.461999999999996
13.845,1.271,10.610999999999999,111.86399999999999,34.150999999999996
17.175,2.195,10.533,129.791,37.553000000000004
10.754000000000001,3.1189999999999998,9.889,159.429,31.416999999999998
11.136,2.542,9.401,151.533,62.25899999999999
11.888,7.047999999999999,8.368,148.425,25.74
6.314,4.275,6.962999999999999,133.709,11.758
0.0,0.0,0.0,0.0,0.0
