user,rating,date,region,review,helpful
Katie,5.0," January 22, 2019",Reviewed in the United States ,"No really, I know nothing about gaming.  If you're reading this review and you're a gamer... you probably want to read another one.  If you're the mother of a 10 year old kid who wants a gaming keyboard and you looked them up and were all ""Uh... yeah no. I'm not spending that on a gaming keyboard"" and you came to Amazon - this fits the bill.  My particular 10 year old isn't a hardcore gamer either, he just watches youtube video's and the people who have loud high pitched voices and British accents (why are they all British?) must use them (not this one, gaming keyboards/mice in general). Anyway, I got him this for Christmas and he loves the keyboard.  He says the mouse could use one more button but he likes it anyway.  He uses this with a PS4, I'm pretty sure it can be used with xbox and obviously it would work with a PC.",21
Sheila Nolan,1.0," April 27, 2020",Reviewed in the United States ,"So, what do I like about this set? Not a SINGLE thing. The mouse began to malfunction within about 10 days, and proved to be worthless for regular PC use, and even more useless of low level games ( like those on POGO) so for it to be promoted as a ""gaming set"" is absurd. (unless annoying flashing lights equals good performance in the eyes of gamers) It doesn't track and clicking is fairly hit and miss. About 1/3 of the times when you click it does nothing, and the side buttons are hair trigger and they shut screens and change where you are at the lightest brush. As of the AM it is in a thousand pieces, because the only pleasure I have gotten out of this POS waste of plastic was stomping it into  oblivion after it closed out and lost a document when I brushed on of those side buttons with my thumb while trying to make the cursor move. If I could go punch the person who developed this POS in the mouth, I'd fly to China to do it. The keyboard is a whole 'nother thing...It is designed for people with very tiny hands apparently, and anyone with a sizable reach, who was trained on a typical/standard keyboard, will make constant typing mistakes...and honestly, the whole color thing is just freaking annoying, and you have to manually set it to the least annoying setting every time you restart your computer. Who needs that? Maybe a teenager who doesn't have anything real to accomplish on a computer, but not a normal human who has actual work to do. Beyond that, some keys you really have to strike fairly hard to make the keystroke register, other times if you brush the top of a button as you are moving around the keyboard to type, it will register that keystroke, so spelling mistake are an every single minute occurrence unless one types in the same manner as I was taught in High School typing class ( every keystroke performed with hands hovering about an inch over the keyboard, and my hands in full secretarial position.) I bought this POS set January 24, and today is April 27th, and I bought it because it had such high ratings for usability, and the price was decent...I wasn't expecting it to last more than a year or so, because that seems to be about the length of time and any keyboard and mouse will last these days, even with just average use. This POS lasted 3 months ( okay, I might have gotten another week out of it had I not taken the extreme pleasure of smashing the mouse...and the Keyboard is next as soon as I can shop in person for a new one that hopefully won't be yet another piece of crap) If it were possible to leave a negative rating for this crap set, I absolutely would.",14
R.A.H.,3.0," December 26, 2019",Reviewed in the United States ,"I've been using this keyboard for a few weeks now. Over all, I reeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeally like it, but I've been having some trouble's witttttttttttttttttttttttttttttttttttttttttttttttttttttttttth it.For sommmmmmmmmmmmmmmmmmmmmme reason at random intervals, one of the keysssssssssssssssssssssssssssss will lock when I'm typing, or playing games. it's nooooooooooooooooooooooooooooot a physical problem, and it's not a drrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrriver issue. It seems to be a problem with the keyboard's firmware. I might see about ordering a replacement iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiin the case I just got a defective model.I'm sorry if this reviiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiew was annoying to read, but I couldn't think of a better was of illustrating thhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhe problem I was having.",11
William,1.0," May 3, 2019",Reviewed in the United States ,"I got the keyboard and mouse and they are pretty good. Here's the problem. No software, drivers or any instruction. Go to the website to get the software to control the lighting and speed and it does not install properly and caused my windows to crash. After an hour of removing and restarting it is ok. Looks good and I will keep them because they work but I cannot alter the colors or breathing speed or anything. Would be 5 stars with the software.PS. Support on the website is awful. No help at all",14
Amazon Customer,1.0," December 22, 2020",Reviewed in the United States ,"UPDATE: Changed to 1 star, wish I could select 0 stars. 1 star seems unfairly high. The mouse is unbearable. It regularly stops connecting to the computer for a fraction of a second which makes it impossible to use for gaming or most tasks. The mouse pointer itself will wiggle and move around on the screen in large arcs even without me touching the mouse or desk. Luckily I got a refund for it and I will be throwing these items in the trash. This was a huge waste of time and effort and I urge anyone reading this to choose a different brand.I am extremely disappointed in this purchase. The keys for the keyboard are very gummy feeling and don't seem very pleasant to type on. Not only that, but some of the keys are extremely unresponsive. I have to smash the shift key in order to get it to respond. I also bought it thinking that it came with keyboard software to reprogram keys and macros, which it does not. Also, I was very excited to have the colors on the keys and utilize the cool effects, but all of the effects are really loud. Like, when I put it on ""breathing"" mode I hear a reasonably loud electrical whine when it is cycling from on to off, to the point where I only use a solid color because it's so jarring to my ears.As for the mouse, it is okay. The thumb buttons are really far forward for how I hold the mouse but I think they would work for other people. The texture on the mouse is very pleasant and I like the ability to add/remove weights. As for the responsiveness though, I bought a wired gaming mouse thinking it was going to be more responsive but it is not. It is pretty unresponsive and seems to drift a lot. There have been a lot of times where I am not even touching the mouse and the on-screen cursor is wiggling back and forth and drifting around.All in all I would recommend getting something else.Will it work? Yea.Am I happy with the purchase? Absolutely not.The product also arrived over a week late, which isn't the manufacturer's fault but I feel it necessary to include in the review.",5
Aaron Atkins,4.0," June 11, 2020",Reviewed in the United States ,"Tactile feedback is good on the keyboard, but it's taking a bit of time for me to get used to the layout of the keyboard compared to my old trusty Dell keyboard that this was replacing. That, I'll chock up to just me needing more time to get used to it. The weights in the mouse make it feel nice. However, there is no official software for the keyboard, which resets back to rainbow puke every time I boot my computer, which with my ADHD is distracting. The website doesn't officially support the mouse anymore, but the M601-3 mouse drivers and software are compatible, which also helps to remap the buttons. Ordinarily I'd like to turn off the lights for this keyboard, but with them off, the keys are really dull, so I leave them on a solid red during use. Also, was afraid that my keyboard was broken on arrival, but it just doesn't work in a USB 2.0 port and needs USB 3.In short:Pros:Looks niceKeyboard is programmable for RGBGreat for typing at nightKeyboard and mouse have nice tactile feedbackMouse buttons can be programmedShortcut buttons are nice.Cons:Layout may be slightly off compared to what you are used toKeyboard loses your RGB settings if your PC is turned offSoftware was a slight pain to find (You need Red Dragon USA, not the worldwide site, but if you are on the worldwide site, you can use the M601-3 driver download)Needs USB 3.0+ for the keyboard, USB 2.0 ports would not provide enough power for it to functionNo software to reprogram the shortcut keys or maintain the RGB settings on the keyboard.",6
Cheryl,4.0," October 7, 2018",Reviewed in the United States ,"I bought the keyboard + mouse set as an upgrade from my previous keyboard. I had an old emachines keyboard that I dearly loved, but the print has worn off many keys and some of the keys take considerable pressure to function, so it was time to upgrade. I will be using this for coding and extensive word processing, not gaming, so that's what this review is based on.Mouse: The mouse is nice. It's got a nice weight. The texture on the buttons gives it a good feel. It glides on the mousepad well with no skips. It's plug-and-play, although you need the driver in order to program the extra buttons. (see below) I haven't used the DPI switch, since I wont' need this for my work. The funny little contour points at the back end of the mouse are quite handy for moving the mouse around when selecting large amounts of text. No noticeable delay between click and computer response.Keyboard: The keyboard is ok. I'm kind of a ""banger"" when it comes to typing (I press hard on the keys as I type.) But this keyboard makes considerably less noise than my last keyboard... much softer sound and keypress (if that makes any sense). I was hoping to have the static rainbow illumination for the backlight, but haven't figured out how to do that yet. (see below) My biggest complaint is that it's missing the little notches on the ""J"" key that I used to use to orient my fingers when I begin typing. It has a notch on the ""F"" and the ""5"" on the tenkeys area, but not on the ""J"".Instructions: This is where this set really fails. A very thick booklet is included with this set, but don't get excited. Most of the book is translations. There's only about 3-5 pages of instructions, in very small print (I needed to get a magnifier to read them!), and the instructions aren't complete. The instructions could be written with more clarity about how to change colors, and the website for downloading drivers isn't even listed. AND when you do Google-search and find the website, you'll find that the model number on the booklet (and mouse & keyboard) isn't the same as the one on the website. (If you read the Q&A for this item, you'll see what I mean.)Overall, the instructions are the worst problem with this item. If you can get beyond this, it's not a bad set for the price. Definitely makes you feel like you spent more than you did for the set. :)",8
Robert Eyerly,5.0," January 19, 2016",Reviewed in the United States ,"Let me start by saying, I love this product. I can say with complete honesty, that I do not think you can find a better Mouse/Keyboard combo out there for the price ($27.99 with free 2-day shipping w/ my Prime subscription). Having said that, please understand that you are getting a mouse/keyboard combo on the cheap, and although in this case I don't necessarily agree with the ""you get what you pay for"" sentiment because this has far exceeded my expectations for the price, it is still a $30 combo so keep that in mind when purchasing as not to be disappointed if you are expecting this thing to walk your dog. It does not come with software, does not have macros, etc. (although it does have function keys for your basics like changing volume, media player play/pause, next track, etc.) In other words, it is not full of bells and whistles, but if you are just looking for a solid gaming combo for a low price than you really can't beat this combo.The keyboard has a solid construction despite being all plastic, and the keys have great tactile feedback, probably the best I have experienced for a non-mechanical keyboard. It is precise and responsive. The one complain I have with the keyboard is something other reviewers have already mentioned; the enter key is that strange ""tall"" type that relocates the ""\"" key next to it instead of above it. In my case this is not a big deal at all because I do not use that key often, but I could see it being a problem if I did so you will want to be aware. The ability to swap the arrow and WASD keys is neat, but for me it is just a gimmick as I always use WASD when gaming anyway. With the feet down, the keyboard sits at a nice angle and I have been able to game for periods of 4+ hours without any discomfort.Moving on to the mouse, I bought this combo originally because my Logitech G9 I have been using for the last 5 years got spilled on, and shorted out. I loved that mouse and at the time I paid $70 for it when I bought it. Now that I am married and with a child, I do not have $70 to spend on a mouse, so I came to amazon to look for decent gaming mouse. My budget was $30. After some research I came across this combo. ""#1 best selling keyboard and mouse combo on amazon?"" I thought. I had never heard of this brand and 5 years ago when I bought my Logitech, there was no such thing as an off brand making a quality product so I was a bit skeptical at first. However, after reading the comments I thought... ""What the hell, it's $30. I will give it a shot and if I am not thrilled, I can buy another one once I get my tax return"". Now that I have rambled my story to you I will tell you how I feel about the mouse. Now, I will not lie... It is no G9. That mouse had the perfect set of weights and DPI settings that just felt amazing, but at $70 that was the expectation. With that in mind, I will say that this mouse is the second best mouse I have used. The DPI settings are nice, though for me the highest one is way too fast so I use the middle setting normally, and the lowest setting for precision such as sniping (the buttons on top of the mouse to adjust DPI on demand are great for this). The mouse is very smooth, the left and right click as well as the other buttons all have a great feel to them. I play games that require a very high CPM, so I am jamming on the right click constantly, probably at least 100 times per minute, and it is always responsive and catches every click with ease. The mouse wheel works fine, I have no issue with it... Not much to say here other than that it functions as it should.TL;DR: Both the keyboard and mouse are worth the price alone IMO, to get both for the price is just icing on the cake. I am highly satisfied with my purchase and would strongly recommend this combo to anyone. I have already recommended it to friends if they should ever need an economic solution to replacing any of the gaming keyboards/mice.",31
Ernest L. Johnson III,4.0," June 3, 2020",Reviewed in the United States ,"For, what I'd call, an ""entry level"" set, inexpensive, fairly solid with good feedback on keys and DPI on mouse.I'll give ReDragon props for flashy.  This is one flashy keyboard, the solid backlight setting is great, especially gaming in low-light. I still have attempted the ""changes color with each keystroke"" but would likely be a strobe effect.Warning: There is no downloadable software, all the settings are manually done at the Keyboard or Mouse. The only reason I can't give it a 5-star. This is why it is a good entry level gaming setup. No macros to program, it would be up to the game to keymap, but macros are out. The DPI setting on the mouse resets each time you shutdown/restart the computer, so you just need to click the DPI selection button. Same goes with the Keyboard, the FN Home, or FN END will change the backlighting. The instructions have a page on which each does.I'm not a fan of the ""no memory"" aspect of the keyboard and mouse, but the cable length, funcitionality and feel of the keyboard, a well weighted full sized mouse. Oh, cable length is good to longer than expected, I think about 5'. The mouse cable is braided.It's really not a bad set, I might get one of ReDragon's higher end KB/Mouse over the more ""common"" brands out there. Sometimes you just need a flashy keyboard and mouse and don't want to spend a ton on something else that is really only marginally better than this one. :-)",3
D. Hardingham,1.0," August 10, 2020",Reviewed in the United States ,"so just i rate 4 if it had drivers as keyboard very nice looking  and very layout keyboard with nice key response but no stand alone drivers which I  Hate as cause to many more typos more typos and for it cause seizures for some people but it going to some has drivers for keyboard with need the mouse driver a that i would use would not except as a back up,so i just to return in a few days if i driver this as it driven crazy as the option of rgb as i want a blue back lit key board with a few different fixed colors",5
Alejandro Ortiz,5.0," July 15, 2017",Reviewed in the United States ,"The keyboard and mouse it's great for the price. I don't have any problems and the led Red color in this product is perfect for me Because it matches the color of my PC. On the keyboard does not have much light But that's one of the reasons why I love it, since I do not like having lots of light and for the price I think it offers quite a lot of this combo.The mouse is the best part, great design and feels amazing in my hand. The keyboard is great too, but the mouse feels a lot of better. How ever, its a good basic combo for gaming and I recommend for peoplo who don't want to spend to much money on this part.",21
BK,1.0," March 11, 2020",Reviewed in the United States ,"I wasn't expecting much for $30 but this keyboard exceeded all expections for me.  Firstly, I didn't realize how horribly laggy and imprecise my wireless keyboard and mouse were.  The one game i play on my PC was completely transformed as I discovered it was my horrible wireless devices that made me a bad player.  LOL.  Secondly, once you figure out how to disable the silly flashing rainbow default lighting setup, you have a brilliant backlit keyboard with a complete range of colors and lighting schemes to use in different lighting environments.  Finally, those that miss the old mechanical IBM keyboards, this $30 keyboard comes surprisingly close to replicating a good amount of the mechanical feel I miss so much from them.  And you don't have to pay close to $200 to get some of that back.  The Keyboard layout is largely the classic IBM layout as well.  The quibbles I have are minor considering this is a $30 backlit keyboard and 3,600 dpi gaming mouse.  1) The top half of the symbols above the number keys are dimly lit.  Not a huge issue but annoying.  2) The keyboard keys are very light to the touch which some people might like.  I miss the old heft and sturdiness of the old IBM mechanical keyboard keys.  But hey, for $30....  3)  Some silly graphics and lighting on the mouse but then again, only $30....I would highly recommend this to anyone getting fed up with their wireless chiclet keyboard and glitchy wireless mouse.  It's also a cheap test of a 3,600 dpi gaming mouse and keyboard to see if there really is a difference between standard keyboards and mice and gaming dedicated hardware.  There definitely is a difference.  .UPDATE -  Malfunctioning after 5 months.  Too bad.  You get what you pay for.  Down arrow key is not working.  The left mouse button sometimes fails to click.  The right mouse button sometimes clicks by itself.",3
Chargeit,3.0," September 6, 2019",Reviewed in the United States ,"Picked up this set to include with a computer I'm selling. Took it out to take pictures and am not very impressed. The keyboard is alright, feels cheap but decent enough. The mouse however is very plastic feeling. Would say for a cheap set the keyboard is fine but the mouse leaves a lot to be desired.The RGB on the keyboard is poor. I have some very high end mech rgb keyboards and those flow like water. This keyboard more of flashes. The issue I see is the color is broken up into zones, aka 3 or 4 rows of keys meaning there's a jerky flow to its movement. Honestly, I think they'd of been better off just making the keyboard sold colors.The mouse led is stuck at red. Personally not a fan of black and red in 2019 (2013 called, they want their gaming colors back). Though my largest issue with the led on the mouse is it breaths and I can't figure out how to make it a solid color.Overall I'd say this is a cheap, budget keyboard + mouse set and it looks and feels like that. I'd highly suggest anyone looking for a kb&m save up until they get a proper mech keyboard and mouse. Thinking I might return this since it make the computer I'm selling look cheap.",2
JPK17,1.0," July 5, 2017",Reviewed in the United States ,"This is far far below the level expected.  I rarely give a bad review but this is awful.  The buttons are mushy and give poor feedback to being struck, they feel like they sightly stick upon being pressed so typing regularly is difficult.  The keyboard that came with computer is much better as a comparison.  On a plus... It does look good and the cord is solid...",19
ShadowDragon8685,2.0," September 19, 2019",Reviewed in the United States ,"This keyboard and mouse work. They're perfectly serviceable. The light options on the keyboard are nice. That's the extent of the good things I can say about this set, unfortunately.To start with, the mouse. I thought I was getting a five-button gaming mouse (not including scroll wheel): I did not. The two side buttons are MACRO playback buttons that require Redragon's propriety and obviously-machine-translated software to function. The macro function sucks because it doesn't have good manual editing; you cannot type in a set of instructions to push X button at Y time, etc, etc, the way you could with AutoHotKey. You have to record all the keystrokes in the correct order and manually edit the timing/delete anything. But you cannot add!You CAN assign the side buttons - and, for that matter, the regular Mouse1 and Mouse2 buttons - to other keys. However, you CANNOT simply assign them to, say, Mouse3 or Mouse4, as those options are anomalously missing. You may only assign it to Left or Right Mouse, or a bunch of special windows keys like IE Forward/Back, Multimedia, Mouse1/Mouse2, Internet Explorer special keys, and the like.The middle button, below the mousewheel and between the left and right mouse keys, is not a mouse button! ALL it does is swap between one of four programmable mouse input DPI steps. This seems mostly superflous to me, as you can set the mouse's DPI in the software. I wouldn't mind so much if ""switch between DPI settings"" was an OPTION and I could reclaim that button for, say, Mouse5, but nope! That is absolutely, positively ALL it does.The keyboard has some FANCY light options, I'll give it that. The instruction book is reasonably helpful at explaining them all, too. Annoyingly, they're only a set of input-based options from the keyboard's own function key, and NOT programmable via the software - which has nothing at all to do with the keyboard. Furthermore, the mouse only has one color - red - and you can only choose between light on, light off, and if it is on, change the speed of the mouse light's breathing. These products are obviously not made as partners, they're just two different products manufactured by the same company and sold as a set.The keyboard, also, feels cheap. See also the damage on the S, D, N, M, and . keys in my picture above. I have only had this keyboard about six months (arrived mid-April 2019, photograph taken mid-September 2019, day before the date-of-posting since midnight has just passed as I am typing this,) and it's already visibly worn from use. This is the kind of keyboard that's made to be unboxed immediately before a PC gaming pro sets down for a tournament, it doesn't feel like it's going to stand up to two decades of wear and still be functional the way my last keyboard was - and still is, though filthy and with many keys worn physically through. I bought this combo for the mouse, which, speaking of cheapness;The mouse is also bloody cheap, too. It FEELS nice and solid and thunky and heavy in your hand - that's because there's a bloody great mass of sodding metal weights inside it! You can pull them out to adjust their spacing and numbering if you like, so that's nice I guess, but with them all out, if just looks feels like a generic Logitech corded mouse going through a Goth phase.In conclusion, they work, they're cheap enough and if you like ""gaming"" stuff, or dragons, or black, or colors, or fancy rainbow cycling lights and you need to replace either or both of a keyboard or mouse, they'll do the job. But do not expect a gaming mouse (it is not,) or a gaming keyboard (it has literally no gaming features whatever.)",4
Sajeev M.,5.0," October 31, 2014",Reviewed in the United States ,"Everything arrived very promptly and undamaged. The mouse is excellent and a great step up from the standard optical mouse I had been using. It has 3 DPI settings and offers easy switching in game. The mouse responds very well and has weight adjustment for those who like a heavier mouse. The design is very nice and overall its very comfortable for long gaming sessions. The keyboard is also great. It offers media keys integrated with the function keys and also allows you to re-map your regular arrow keys into the wasd keys which can be very useful for some games. The back light is fairly bright without being annoying and helps while gaming in a dark room. Overall, this bundle is outstanding for its low cost. It offers many features that you would not normally get at this price point and I have noticed an improvement in my gaming with this mouse. Everything also looks very sleek and nice. Great bundle for the price.",109
DaLooney,3.0," January 7, 2021",Reviewed in the United States ,"Although as a kb it's on the 'normal' side (no issues) there are a some (IMO) large 'niggly' points.First, no configuration (software) for the kb.  This means every time you shutdown/reboot all your 'settings' revert to default. so you have to change the settings back to the way you want, EVERY TIME you restart/reboot your system, this equals a PITA.Secondly, ergonomically, the foot rests when fully extended only change the inclination of the kb by about 5% and don't make it any easier to use, especially for those of us who can touch type.  The higher the inclination, the less 'reaching' you have to do to get the 'top row' keys (numbers, etc) and you can forget trying to reach the function key row completely.For the money spent you can get a better 'combo' than this with better configuration setup and better 'ergonomics' than this kb.As far as I'm concerned, it's overpriced (even at such a low price) so my advice - save your money, go elsewhere.Cheers",2
Holly Kraft,1.0," December 18, 2018",Reviewed in the United States ,"I was very taken by the look and durability reviews to purchase this item and up til this morning was quite happy with it. I went to log in this morning and suddenly the Ctrl, Alt and delete keys weren’t working. Having recently gotten a new laptop from work I thought perhaps it was just a fluke. However once logging in, when typing I noticed other keys not working (you never realize how many times you use the letter h til you don’t have it..).While the lights in the keyboard were still working, I tried the keyboard in several other USB ports, still nothing.I even tried in another laptop and by then, no keys were working.I had this JUST over three months and used less than 10 times during that period.Needless to say I’m quite disappointed that the product wasn’t very durable. Since it hardly stood up to general office standards, I certainly wouldn’t think to use it for gaming of any kind either.",8
Scott Johnson,3.0," April 16, 2020",Reviewed in the United States ,"The keyboard and mouse are alright, they do just what they're supposed to by typing and clicking. The lights on the keyboard are fairly easy to change and nothing is out of place. I will agree with some  comments that the wrist rest is awkward, it's just long enough to hit the palm of your hand but too short to rest on it.My biggest complaint is that the software downloads are non-existent or difficult to find. If you search S101-3, there are no software downloads. I eventually found that the mouse is actually a M601-3 Centrophorus Mouse and downloading the software for that will allow you to customize the keys, record macros, etc. I haven't done much with that, I did try to map the side buttons to skip songs and it didn't work. If you find the keyboard, the software doesn't recognize the keyboard at all. The closes I could find was the K503 RGB LED keyboard.The other issue is when power is shut off, the lights revert to the ""demo mode"" and the mouse sensitivity reverts to the slowest speed, so that whenever you restart your computer you have to reset these. It wouldn't be such a big deal, but the keyboard goes into a flashing light show that's just annoying.If I had to do it again, I would probably get a different one. I'll use this one until it gives out since it works as a keyboard and mouse.",3
